dt_announce,dt_minute,ts_et_announce,decision
1/30/2013,2/20/2013,14:15,0
3/20/2013,4/10/2013,14:00,0
5/1/2013,5/22/2013,14:00,0
6/19/2013,7/10/2013,14:00,0
7/31/2013,8/21/2013,14:00,0
9/18/2013,10/9/2013,14:00,0
10/30/2013,11/20/2013,14:00,0
12/18/2013,1/8/2014,14:00,0
1/29/2014,2/19/2014,14:00,0
3/19/2014,4/9/2014,14:00,0
4/30/2014,5/21/2014,14:00,0
6/18/2014,7/9/2014,14:00,0
7/30/2014,8/20/2014,14:00,0
9/17/2014,10/8/2014,14:00,0
10/29/2014,11/19/2014,14:00,0
12/17/2014,1/7/2015,14:00,0
1/28/2015,2/18/2015,14:00,0
3/18/2015,4/8/2015,14:00,0
4/29/2015,5/20/2015,14:00,0
6/17/2015,7/8/2015,14:00,0
7/29/2015,8/19/2015,14:00,0
9/17/2015,10/8/2015,14:00,0
10/28/2015,11/18/2015,14:00,0
12/16/2015,1/6/2016,14:00,0.25
1/27/2016,2/17/2016,14:00,0
3/16/2016,4/6/2016,14:00,0
4/27/2016,5/18/2016,14:00,0
6/15/2016,7/6/2016,14:00,0
7/27/2016,8/17/2016,14:00,0
9/21/2016,10/12/2016,14:00,0
11/2/2016,11/23/2016,14:00,0
12/14/2016,1/4/2017,14:00,0.25
2/1/2017,2/22/2017,14:00,0
3/15/2017,4/5/2017,14:00,0.25
5/3/2017,5/24/2017,14:00,0
6/14/2017,7/5/2017,14:00,0.25
7/26/2017,8/16/2017,14:00,0
9/20/2017,10/11/2017,14:00,0
11/1/2017,11/22/2017,14:00,0
12/13/2017,1/3/2018,14:00,0.25
1/31/2018,2/21/2018,14:00,0
3/21/2018,4/11/2018,14:00,0.25
5/2/2018,5/23/2018,14:00,0
6/13/2018,7/5/2018,14:00,0.25
8/1/2018,8/22/2018,14:00,0
9/26/2018,10/17/2018,14:00,0.25
11/8/2018,11/29/2018,14:00,0
12/19/2018,1/9/2019,14:00,0.25
1/30/2019,2/20/2019,14:00,0
3/20/2019,4/10/2019,14:00,0
5/1/2019,5/22/2019,14:00,0
6/19/2019,7/10/2019,14:00,0
7/31/2019,8/21/2019,14:00,-0.25
9/18/2019,10/9/2019,14:00,-0.25
10/30/2019,11/20/2019,14:00,-0.25
12/11/2019,1/3/2020,14:00,0
1/29/2020,2/19/2020,14:00,0
3/3/2020,4/8/2020,10:00,-0.5
3/15/2020,4/8/2020,17:00,-1
4/29/2020,5/20/2020,14:00,0
6/10/2020,7/1/2020,14:00,0
7/29/2020,8/19/2020,14:00,0
9/16/2020,10/7/2020,14:00,0
11/5/2020,11/25/2020,14:00,0
12/16/2020,1/6/2021,14:00,0
1/27/2021,2/17/2021,14:00,0
3/17/2021,4/7/2021,14:00,0
4/28/2021,5/19/2021,14:00,0
6/16/2021,7/7/2021,14:00,0
7/28/2021,8/18/2021,14:00,0
9/22/2021,10/13/2021,14:00,0
11/3/2021,11/24/2021,14:00,0
12/15/2021,1/5/2022,14:00,0
1/26/2022,2/16/2022,14:00,0
3/16/2022,4/6/2022,14:00,0.25
5/4/2022,5/25/2022,14:00,0.5
6/15/2022,7/6/2022,14:00,0.75
7/27/2022,8/17/2022,14:00,0.75
9/21/2022,10/12/2022,14:00,0.75
11/2/2022,11/23/2022,14:00,0.75
12/14/2022,1/4/2023,14:00,0.5
2/1/2023,2/22/2023,14:00,0.25
3/22/2023,4/12/2023,14:00,0.25
5/3/2023,5/24/2023,14:00,0.25
6/14/2023,7/5/2023,14:00,0
7/26/2023,8/16/2023,14:00,0.25
9/20/2023,10/11/2023,14:00,0
11/1/2023,11/21/2023,14:00,0
12/13/2023,1/3/2024,14:00,0
1/31/2024,2/21/2024,14:00,0
3/20/2024,4/10/2024,14:00,0
5/1/2024,5/22/2024,14:00,0
6/12/2024,7/3/2024,14:00,0
7/31/2024,8/21/2024,14:00,0
9/18/2024,10/9/2024,14:00,-0.5
11/7/2024,11/26/2024,14:00,-0.25
12/18/2024,1/8/2025,14:00,-0.25
1/29/2025,2/19/2025,14:00,0
3/19/2025,4/9/2025,14:00,0
5/7/2025,5/28/2025,14:00,0
6/18/2025,7/9/2025,14:00,0
7/30/2025,,14:00,0
